ID,RA,Decl,I,V,P_1
OGLE-SMC-CEP-0122,00:30:11.91,-73:44:07.0,17.301,17.823,1.1576001
OGLE-SMC-CEP-0123,00:30:16.22,-73:25:11.5,16.453,16.897000000000002,1.6000006000000002
OGLE-SMC-CEP-0126,00:30:27.61,-73:27:26.2,17.211,17.683,1.3659716
OGLE-SMC-CEP-0127,00:30:34.90,-72:59:09.9,17.015,17.590999999999998,1.2940584
OGLE-SMC-CEP-0129,00:30:44.32,-73:28:10.3,16.315,16.994,2.4424932
OGLE-SMC-CEP-0131,00:30:45.26,-74:00:53.1,17.13,17.69,1.3882424999999998
OGLE-SMC-CEP-0132,00:30:46.62,-73:37:53.3,14.912,15.619000000000002,6.6629545
OGLE-SMC-CEP-0134,00:31:10.95,-73:05:29.9,16.272000000000002,16.82,2.329027
OGLE-SMC-CEP-0135,00:31:13.32,-73:29:01.2,16.969,17.632,1.7030773999999997
OGLE-SMC-CEP-0138,00:31:28.31,-72:45:19.5,17.165,17.769000000000002,1.0993576999999999
OGLE-SMC-CEP-0139,00:31:34.46,-72:52:26.0,16.884,17.519000000000002,1.5102872999999999
OGLE-SMC-CEP-0141,00:31:35.59,-73:52:55.9,16.833,17.476,1.5537377
OGLE-SMC-CEP-0143,00:31:39.71,-72:40:34.7,16.844,17.44,1.4806143999999999
OGLE-SMC-CEP-0145,00:31:54.45,-72:56:24.8,16.382,17.007,2.1737389
OGLE-SMC-CEP-0146,00:31:57.82,-73:37:33.0,16.569000000000003,17.19,1.8534738000000002
OGLE-SMC-CEP-0148,00:32:06.08,-73:45:18.8,16.703,17.373,2.1761677
OGLE-SMC-CEP-0152,00:32:54.90,-73:49:19.1,13.401,14.115,15.837710399999999
OGLE-SMC-CEP-0155,00:33:05.85,-72:55:23.6,16.634,17.267,1.6340158
OGLE-SMC-CEP-0157,00:33:08.55,-73:52:04.8,15.675,16.317,3.5425623999999996
OGLE-SMC-CEP-0158,00:33:14.56,-73:12:01.3,17.041,17.623,1.3845386999999998
OGLE-SMC-CEP-0162,00:33:20.12,-73:44:11.3,17.468,18.135,1.2334895000000001
OGLE-SMC-CEP-0163,00:33:23.02,-73:23:05.3,14.017000000000001,14.937000000000001,13.724143900000001
OGLE-SMC-CEP-0164,00:33:23.17,-73:40:50.2,17.015,17.680999999999997,1.6467235
OGLE-SMC-CEP-0168,00:33:31.82,-73:38:00.8,17.004,17.442,1.2996497999999999
OGLE-SMC-CEP-0169,00:33:34.11,-72:45:45.6,16.404,17.01,2.1172076
OGLE-SMC-CEP-0170,00:33:37.87,-73:31:39.4,17.328,17.917,1.2284442
OGLE-SMC-CEP-0171,00:33:39.83,-74:02:43.5,17.000999999999998,-99.99,1.5514818000000001
OGLE-SMC-CEP-0175,00:34:08.60,-73:49:46.7,17.521,-99.99,1.1338103000000002
OGLE-SMC-CEP-0176,00:34:09.85,-73:09:49.7,16.807000000000002,17.361,1.4996063
OGLE-SMC-CEP-0181,00:34:28.59,-74:02:45.2,17.061,17.637,1.550452
OGLE-SMC-CEP-0182,00:34:32.84,-73:12:04.2,16.498,17.112000000000002,2.001959
OGLE-SMC-CEP-0183,00:34:33.39,-74:00:35.9,17.433,18.08,1.2011847
OGLE-SMC-CEP-0185,00:34:35.20,-73:21:26.9,15.517000000000001,16.122,3.5796034
OGLE-SMC-CEP-0188,00:34:37.98,-74:12:03.8,15.897,16.637999999999998,3.8435441
OGLE-SMC-CEP-0190,00:34:41.98,-73:44:17.6,16.62,17.194000000000003,1.8989403999999999
OGLE-SMC-CEP-0193,00:34:44.38,-73:04:31.3,16.345,17.06,2.5257408
OGLE-SMC-CEP-0194,00:34:46.05,-73:05:45.9,16.659000000000002,17.307000000000002,1.8008817
OGLE-SMC-CEP-0195,00:34:48.08,-73:28:15.7,16.72,17.375,1.8247833999999998
OGLE-SMC-CEP-0196,00:34:49.53,-73:06:13.2,16.454,17.083,2.0726081
OGLE-SMC-CEP-0199,00:34:54.31,-73:46:47.9,17.477,18.075,1.0944036
OGLE-SMC-CEP-0200,00:34:56.69,-74:18:35.7,15.539000000000001,16.316,4.9779846
OGLE-SMC-CEP-0203,00:35:02.77,-73:26:26.5,16.597,17.288,2.0277171000000003
OGLE-SMC-CEP-0205,00:35:07.22,-73:14:40.3,17.003,17.61,1.4438434
OGLE-SMC-CEP-0206,00:35:09.59,-73:49:03.8,17.011,17.621,1.5217493
OGLE-SMC-CEP-0208,00:35:11.70,-73:43:18.4,13.628,14.425,16.6795155
OGLE-SMC-CEP-0209,00:35:16.14,-73:05:08.2,16.918,17.577,2.0224881000000003
OGLE-SMC-CEP-0210,00:35:18.44,-73:22:11.6,17.408,17.995,1.0320817
OGLE-SMC-CEP-0215,00:35:33.09,-73:31:12.1,16.364,17.057000000000002,2.3407553
OGLE-SMC-CEP-0217,00:35:36.58,-73:36:05.4,16.27,16.905,2.5167497
OGLE-SMC-CEP-0218,00:35:41.43,-73:40:15.7,16.098,16.649,2.4168726
OGLE-SMC-CEP-0219,00:35:42.22,-74:06:53.2,17.373,17.987000000000002,1.2139358
OGLE-SMC-CEP-0221,00:35:42.68,-73:52:00.9,17.38,17.92,1.1016153999999998
OGLE-SMC-CEP-0223,00:35:44.87,-73:26:25.7,16.12,16.758,3.5697011
OGLE-SMC-CEP-0224,00:35:50.05,-73:06:09.7,16.387,17.09,2.967648
OGLE-SMC-CEP-0225,00:35:51.62,-74:03:43.9,17.075,17.671,1.3582954
OGLE-SMC-CEP-0227,00:35:57.93,-72:58:13.7,17.492,18.046,0.9625698
OGLE-SMC-CEP-0228,00:35:58.62,-73:28:57.0,15.757,16.430999999999997,3.1411689999999997
OGLE-SMC-CEP-0230,00:36:03.46,-73:55:58.8,13.842,14.729000000000001,16.296101500000002
OGLE-SMC-CEP-0232,00:36:10.28,-73:56:40.7,17.727999999999998,18.320999999999998,1.0294584
OGLE-SMC-CEP-0233,00:36:11.18,-73:45:02.2,16.930999999999997,17.514,1.3725058
OGLE-SMC-CEP-0234,00:36:13.76,-73:59:07.0,15.969000000000001,16.611,3.2778027
OGLE-SMC-CEP-0235,00:36:18.11,-73:46:24.9,14.124,-99.99,9.4509204
OGLE-SMC-CEP-0236,00:36:26.84,-73:43:36.6,17.281,17.915,1.2223121000000001
OGLE-SMC-CEP-0240,00:36:32.34,-74:04:30.9,17.03,17.636,1.4000105
OGLE-SMC-CEP-0246,00:36:55.70,-73:56:28.1,13.963,14.762,14.3813503
OGLE-SMC-CEP-0247,00:36:55.97,-73:04:23.9,17.057000000000002,17.607,1.3409658000000002
OGLE-SMC-CEP-0249,00:37:01.02,-74:14:54.3,17.657,18.28,1.0219684000000002
OGLE-SMC-CEP-0254,00:37:26.49,-73:56:08.3,17.264,17.878,1.0500507
OGLE-SMC-CEP-0255,00:37:28.98,-73:58:00.2,15.074000000000002,15.825999999999999,5.7945008
